LINE NO,TEST PACK NO ,BOLT TORQUING NUMBER,TYPE OF BOLTING ,DATE,SUPERVISOR
K81-FW-0300/K8101U_A,K81-FPS6-FW-01-TP-0002-001R,,,,
K81-FW-0302/K8101U_A,K81-FPS6-FW-01-TP-0002-001R,,,,
K81-FW-0313/K8101U_A,K81-FPS6-FW-01-TP-0002-001R,,,,
K81-FW-0321/K8101U_A,K81-FPS6-FW-01-TP-0002-001R,,,,
K81-FW-0298/K8101U_A,K81-FPS6-FW-01-TP-0003-001,,,,
K81-FW-0314/K8101U_A,K81-FPS6-FW-01-TP-0003-001,,,,
K81-FW-0317/K8101U_A,K81-FPS6-FW-01-TP-0003-001,,,,
K81-FW-0319/K8101U_A,K81-FPS6-FW-01-TP-0003-001,,,,
K81-FW-0298/K8101T_A,K81-FPS6-FW-01-TP-0004-001,,,,
K81-FW-0303/K9001T_A,K81-FPS6-FW-01-TP-0005-001,,,,
K81-FW-0303/K8101U_A,K81-FPS6-FW-01-TP-0006-001,,,,
K81-FW-0310/K8101U_A,K81-FPS6-FW-01-TP-0006-001,,,,
K81-FW-0322/K8101U_A,K81-FPS6-FW-01-TP-0006-001,,,,
K81-FW-0303/K8101U_A,K81-FPS6-FW-01-TP-0007-001,,,,
K81-FW-0304/K8101U_A,K81-FPS6-FW-01-TP-0007-001,,,,
K81-FW-0307/K8101U_A,K81-FPS6-FW-01-TP-0007-001,,,,
K81-FW-0309/K8101U_A,K81-FPS6-FW-01-TP-0007-001,,,,
K81-FW-0303/K8101T_A,K81-FPS6-FW-01-TP-0008-001,,,,
K81-FW-0299/K8101U_A,K81-FPS6-FW-01-TP-0009-001,,,,
K81-FW-0301/K8101U_A,K81-FPS6-FW-01-TP-0009-001,,,,
K81-FW-0305/K8101U_A,K81-FPS6-FW-01-TP-0009-001,,,,
K81-FW-0308/K8101U_A,K81-FPS6-FW-01-TP-0009-001,,,,
K81-FW-0318/K8101U_A,K81-FPS6-FW-01-TP-0009-001,,,,
K81-FW-0323/K8101U_A,K81-FPS6-FW-01-TP-0009-002,,,,
K81-FW-0315/K8101A_A,K81-FPS6-FW-01-TP-002-001,,,,
K81-FW-0316/K8101A_A,K81-FPS6-FW-01-TP-003-001,,,,
K81-FW-0315/K8101A_A,K81-FPS6-FW-01-TP-0400-001,,,,
K81-FW-0316/K8101A_A,K81-FPS6-FW-01-TP-0400-001,,,,
K81-IA-0646/K8101A_A,K81-FPS6-IA-01-TP-001-001,,,,
K81-IA-0701/K8101A_A,K81-FPS6-IA-01-TP-001-001,,,,
K81-IA-0702/K8101A_A,K81-FPS6-IA-01-TP-001-001,,,,
